criminal_id,mo_tag_id
018a82be-ef30-4d91-95f1-128f8857e132,6a50bebb-6b44-45ab-b9f8-c0deb75d484e
018a82be-ef30-4d91-95f1-128f8857e132,d333f155-d66a-44f3-bb8c-443a989a2147
018a82be-ef30-4d91-95f1-128f8857e132,f2f4d531-46dd-40f0-a536-dde36529164d
018a82be-ef30-4d91-95f1-128f8857e132,f5a7403b-bb8d-460b-8d3b-b673d8e3bf71
0997c34d-ad5a-498f-8847-55e7a86de24f,1f6bce63-aff7-404e-9ecf-3e28a1f585ce
0aa539c1-99df-4ac9-b414-a06aabbdf912,0d9eaa53-164d-422c-9376-462d7f48d2d7
0dbb13ad-970f-4a79-aba7-71fc48efe02b,887a5ef2-85af-4c9c-bd2c-7152ce0f3e17
148a2f90-d1d0-44d7-a20a-165816eef71c,652c2aa1-29f4-4cdd-9639-1cab46b39caa
19a6a814-a49e-4d85-aa21-a2e8b5709d94,93e369d3-8159-45c3-9aa6-334af0502250
19a6a814-a49e-4d85-aa21-a2e8b5709d94,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
19de0621-c7d0-402a-a09d-3b1db38aecf4,22899b3a-873f-4c96-b326-a3164026da0e
1aa9f6f7-0876-46bd-9158-b0632c1ab32e,a8ccae1a-9c4b-415b-8256-cc8889bde57b
23d17823-29fc-40a3-b71a-c40a91481987,a023cd3c-63d0-49cb-bd1b-1af5252d8d34
23d17823-29fc-40a3-b71a-c40a91481987,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
2523d823-0618-40c2-b622-d6faf7f16347,de13f3b0-1f52-4faf-8f6b-28aaff710221
25ab8b3f-49ca-4dd7-8af6-581e2e31e739,b56a76af-22fb-49e4-89fc-d0dae721e69d
2616b6ed-9bed-4104-b508-4934d0fd4c88,78db0fd8-37e9-4fc1-800b-f26221f21008
2c56a6a3-cd13-4703-b572-f392128db1a2,a8ccae1a-9c4b-415b-8256-cc8889bde57b
31a38468-2fa2-4b4b-83b5-d3f1011b9d89,78db0fd8-37e9-4fc1-800b-f26221f21008
410bec90-8114-4c19-905e-a5b77972ef47,887a5ef2-85af-4c9c-bd2c-7152ce0f3e17
410bec90-8114-4c19-905e-a5b77972ef47,a53f1657-4531-4072-848d-96781637c6e8
412d51c1-3427-42c0-908e-c804031cf0f6,22899b3a-873f-4c96-b326-a3164026da0e
412d51c1-3427-42c0-908e-c804031cf0f6,e6d536de-22c9-427d-8b30-1067a4fd216f
