fir_id,criminal_id,role,id
723568a5-fcfd-4d68-9e84-b4a47e8bb96e,8a375fae-6940-41ee-bed7-b1907e6fe26e,accused,00955318-c144-45b2-94d2-0e3c87751666
ce9c7095-ee1a-40de-9445-4e22f8eabe6f,65ffec8e-40a4-4720-99be-dc3cfc926e4d,accused,012c671c-1f51-488b-8864-09058ae86503
f829b077-efcf-4a06-9815-672f91123049,2523d823-0618-40c2-b622-d6faf7f16347,accused,014dc808-958b-419e-89fc-c7d7d133bd33
1f8e69b6-dc14-4d97-99b8-4de8a1c2f0ee,bdb6d588-71f9-4e5a-9059-9aeb7858ab14,accused,02d97455-30e3-4465-a195-2f729406e5be
df478a5f-2626-4056-a80e-ddd4d65d59b4,750ba888-4440-4c9a-b1b2-9caafbd5b106,accused,02e9b595-e2df-4598-bf08-da6d7f7176b3
5e069fe5-d758-48ce-95fb-51b1ea8e53bb,2c56a6a3-cd13-4703-b572-f392128db1a2,accused,02f9a7e9-6d18-497a-9001-6d8a49456086
b6dce4c9-38f6-42bf-87c5-c1e121ecbf41,e29cf33d-3671-4939-bd02-dcd9bc375f60,accused,0393f88a-a5f7-46fb-bf25-33ace36f95a0
47cb0fc9-0e44-4fb5-93dd-99f37f6c1817,60e3f69c-d5de-4ac7-8ef1-2d320fe749da,accused,05889ec5-5262-436d-9d2f-ea01f075a80f
22f34f50-d166-4519-9d59-1425d6c78579,65ffec8e-40a4-4720-99be-dc3cfc926e4d,accused,05b44ae0-5cf4-45ef-9dba-130dec251c68
f5c174eb-78d3-4be6-9b91-479c60bb98d1,23d17823-29fc-40a3-b71a-c40a91481987,accused,077ab952-3e4d-4f03-a212-06d55d1a82c0
4934a590-0190-46c6-a88a-474e35a7f4c7,19de0621-c7d0-402a-a09d-3b1db38aecf4,accused,099a2f7a-f05b-42b0-b9d8-e03da09c915c
e2fe5ac7-125f-4fb4-9e86-13ac54831ec6,ed8f808f-e666-4a73-9062-1f8f757442f1,accused,099b358e-789d-446e-838e-6617c3f7c6d8
