name,id,created_at,updated_at
illegal_gambling_enforcement,01388b46-1053-42b1-a796-fa005f077ab9,2026-08-29 12:45:08,2026-08-29 12:45:08
mining_equipment_theft_from_depot,03e698b4-d400-4054-ba3b-f9adf23ba077,2026-08-29 12:45:08,2026-08-29 12:45:08
fake_currency_distribution,046fd56d-5c13-4484-8748-6c89f4c558ec,2026-08-29 12:45:08,2026-08-29 12:45:08
interstate_transit,08a18e22-3e53-4e1f-8535-9b3599e2fc0b,2026-08-29 12:45:08,2026-08-29 12:45:08
contract_killing_intermediary,0d9eaa53-164d-422c-9376-462d7f48d2d7,2026-08-29 12:45:08,2026-08-29 12:45:08
coordinated_group_activity,0e6b0816-e95b-4bca-8b55-bfa61e3a9519,2026-08-29 12:45:08,2026-08-29 12:45:08
cash_targeting,11d5185c-c6d8-4193-b6d9-dea2e0336b8f,2026-08-29 12:45:08,2026-08-29 12:45:08
remote_warehouse_offload,12242c80-7e87-4a3a-9089-eb09e16aac1f,2026-08-29 12:45:08,2026-08-29 12:45:08
high_yield_investment_scam,1467dbfb-e821-429e-8d38-70e799523bb3,2026-08-29 12:45:08,2026-08-29 12:45:08
phishing_portal_fraud,1b392cad-3abc-4776-bbb1-78a99b886b29,2026-08-29 12:45:08,2026-08-29 12:45:08
counterfeit_goods_manufacturing,1f6bce63-aff7-404e-9ecf-3e28a1f585ce,2026-08-29 12:45:08,2026-08-29 12:45:08
dead_drop,215a5f8f-06e1-4158-9721-e6008784fdd7,2026-08-29 12:45:08,2026-08-29 12:45:08
coordinated_group,22899b3a-873f-4c96-b326-a3164026da0e,2026-08-29 12:45:08,2026-08-29 12:45:08
otp_interception,262590a9-146c-4e08-a937-07459a086d63,2026-08-29 12:45:08,2026-08-29 12:45:08
cannabis_supply,28754c79-c0bf-4dbb-9f89-45d83e54fb50,2026-08-29 12:45:08,2026-08-29 12:45:08
online_marketplace_scam,2ad6fc76-cf04-4765-a388-cd1ba564d7e8,2026-08-29 12:45:08,2026-08-29 12:45:08
warehouse_hideout_used,2d523025-45b9-47d9-9e61-636a753a32a5,2026-08-29 12:45:08,2026-08-29 12:45:08
repeat_domestic_assault,2f17a536-4865-4f78-a2de-f9cd02e3c858,2026-08-29 12:45:08,2026-08-29 12:45:08
festival_rush,37f3e285-8252-43a1-bfa8-ee67cc7969d9,2026-08-29 12:45:08,2026-08-29 12:45:08
