case_id,mo_tag_id
0061975f-241e-4ae3-b312-78d327b56cde,652c2aa1-29f4-4cdd-9639-1cab46b39caa
009b99b2-c746-4ba7-b006-3df88e02f79f,f5a7403b-bb8d-460b-8d3b-b673d8e3bf71
010e73db-0e47-42ac-ba10-c9574ce6c7eb,08a18e22-3e53-4e1f-8535-9b3599e2fc0b
010e73db-0e47-42ac-ba10-c9574ce6c7eb,215a5f8f-06e1-4158-9721-e6008784fdd7
010e73db-0e47-42ac-ba10-c9574ce6c7eb,40e882c1-782c-4149-8cf7-aa975b6c01d7
010e73db-0e47-42ac-ba10-c9574ce6c7eb,a7f43594-640b-4fc9-8df5-a52985453583
01c76242-6624-4500-b169-efc11178973e,93e369d3-8159-45c3-9aa6-334af0502250
01c76242-6624-4500-b169-efc11178973e,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
01e3b8cb-6369-4fa5-b43e-aa07b4547d71,54c60844-91c5-4f16-875e-e5c0382aec1a
01e3b8cb-6369-4fa5-b43e-aa07b4547d71,c8527017-e00b-4771-a39c-8a43ab121796
034a10c5-3ff7-49bc-923a-c306609ec396,54c60844-91c5-4f16-875e-e5c0382aec1a
034a10c5-3ff7-49bc-923a-c306609ec396,c8527017-e00b-4771-a39c-8a43ab121796
05e5c375-6d9b-4758-afff-60745eb3fafe,ac9a3cf9-4109-48ce-bb7a-c8f1ae6a83cb
05e5c375-6d9b-4758-afff-60745eb3fafe,d644742e-505e-4d3d-8af1-b50fe2293bd8
05e5c375-6d9b-4758-afff-60745eb3fafe,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
0742ce48-10b4-4c00-b028-a26687e17c6c,2d523025-45b9-47d9-9e61-636a753a32a5
0742ce48-10b4-4c00-b028-a26687e17c6c,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
0779cceb-7288-48f2-9cf4-85657dbc850d,54c60844-91c5-4f16-875e-e5c0382aec1a
0779cceb-7288-48f2-9cf4-85657dbc850d,c8527017-e00b-4771-a39c-8a43ab121796
08183f6b-2a28-47a7-b04d-3b320049a228,75259b7c-bb19-432a-b7b7-07f7d5e269de
08183f6b-2a28-47a7-b04d-3b320049a228,93e369d3-8159-45c3-9aa6-334af0502250
08183f6b-2a28-47a7-b04d-3b320049a228,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
0851b794-9c41-41b0-860c-9e7a77c3b3fd,2f17a536-4865-4f78-a2de-f9cd02e3c858
0851b794-9c41-41b0-860c-9e7a77c3b3fd,38b0a4bd-67ee-48e8-8db9-067e7c1667bb
089f7fc5-9ba1-4b43-8acd-a709c319111d,5a8f409d-39f6-4deb-9b52-7a02012e79e7
089f7fc5-9ba1-4b43-8acd-a709c319111d,8667f284-a276-41c8-ae4d-a707228e1417
089f7fc5-9ba1-4b43-8acd-a709c319111d,d95cac73-ce81-40ae-9661-c7ad3d36bcf0
08c84fa9-c88a-4d2c-9977-d9bf1bfed258,12242c80-7e87-4a3a-9089-eb09e16aac1f
08c84fa9-c88a-4d2c-9977-d9bf1bfed258,38b0a4bd-67ee-48e8-8db9-067e7c1667bb
08c84fa9-c88a-4d2c-9977-d9bf1bfed258,f5a7403b-bb8d-460b-8d3b-b673d8e3bf71
09206f14-67b1-45df-a004-f505cc4df7cd,6a50bebb-6b44-45ab-b9f8-c0deb75d484e
09206f14-67b1-45df-a004-f505cc4df7cd,d333f155-d66a-44f3-bb8c-443a989a2147
0980717a-92ad-4653-baa9-303a0348e076,28754c79-c0bf-4dbb-9f89-45d83e54fb50
0980717a-92ad-4653-baa9-303a0348e076,78db0fd8-37e9-4fc1-800b-f26221f21008
09e63973-add2-4269-b2b6-2e107969cbaf,41bd5650-da11-4750-b70f-01500ef0a54b
09e63973-add2-4269-b2b6-2e107969cbaf,6a50bebb-6b44-45ab-b9f8-c0deb75d484e
09e63973-add2-4269-b2b6-2e107969cbaf,70f028c8-c00d-4cbd-8127-7237eff2ab65
09fe6c49-e47a-4e73-9929-ed7c9520a38b,11d5185c-c6d8-4193-b6d9-dea2e0336b8f
09fe6c49-e47a-4e73-9929-ed7c9520a38b,41bd5650-da11-4750-b70f-01500ef0a54b
09fe6c49-e47a-4e73-9929-ed7c9520a38b,6a50bebb-6b44-45ab-b9f8-c0deb75d484e
09fe6c49-e47a-4e73-9929-ed7c9520a38b,d333f155-d66a-44f3-bb8c-443a989a2147
09fe6c49-e47a-4e73-9929-ed7c9520a38b,f5a7403b-bb8d-460b-8d3b-b673d8e3bf71
0a1287b2-4b8e-478a-adce-bdd80ad30777,6a50bebb-6b44-45ab-b9f8-c0deb75d484e
0a1287b2-4b8e-478a-adce-bdd80ad30777,a34f32ba-e445-413e-999b-8c31e2a9b6fc
0a808b82-d793-480f-b201-370a197b6f01,41bd5650-da11-4750-b70f-01500ef0a54b
0a808b82-d793-480f-b201-370a197b6f01,6a50bebb-6b44-45ab-b9f8-c0deb75d484e
0ab05469-c5ce-46d6-b804-e45ab1c10ac8,75259b7c-bb19-432a-b7b7-07f7d5e269de
0ab05469-c5ce-46d6-b804-e45ab1c10ac8,93e369d3-8159-45c3-9aa6-334af0502250
0ab05469-c5ce-46d6-b804-e45ab1c10ac8,e6f06d91-c8fd-491d-9a5d-7a49aec7e2cd
0bfac0ed-4420-4578-9171-cfb3a6807d73,08a18e22-3e53-4e1f-8535-9b3599e2fc0b
0bfac0ed-4420-4578-9171-cfb3a6807d73,215a5f8f-06e1-4158-9721-e6008784fdd7
0bfac0ed-4420-4578-9171-cfb3a6807d73,40e882c1-782c-4149-8cf7-aa975b6c01d7
0bfac0ed-4420-4578-9171-cfb3a6807d73,a7f43594-640b-4fc9-8df5-a52985453583
0d2222e9-9dc7-4723-b6af-1cd72129586b,78db0fd8-37e9-4fc1-800b-f26221f21008
