id,case_id,title,description,evidence_type,status,created_by,assigned_to,storage_path,dataset_provenance,source_import_job_id,source_file,source_row_ref
42585aa7-9b9b-5fcf-9f29-f3f9266d9e0d,779a21d1-1f96-5363-b8ab-8a8ff017f2f4,Evidence EVD-000001,Evidence 1 for OT-000011,other,in_progress,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000001
7a233000-c01e-5e6e-ae3f-90ffe46cc8eb,779a21d1-1f96-5363-b8ab-8a8ff017f2f4,Evidence EVD-000002,Evidence 2 for OT-000011,biological,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000002
99c46545-98d4-506c-b906-60141abe7562,375a0694-a593-5e57-8ec5-caccea3d683d,Evidence EVD-000003,Evidence 1 for OT-000004,fingerprints,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000003
5ae82e3b-ff2c-51f9-9716-2286be7cb57c,375a0694-a593-5e57-8ec5-caccea3d683d,Evidence EVD-000004,Evidence 2 for OT-000004,physical,in_progress,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000004
2001d35b-33d2-5205-bb14-ef2b32ec4ea6,375a0694-a593-5e57-8ec5-caccea3d683d,Evidence EVD-000005,Evidence 3 for OT-000004,trace,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000005
c0eecc40-59ed-54f0-b917-f0eb7ceb10c3,375a0694-a593-5e57-8ec5-caccea3d683d,Evidence EVD-000006,Evidence 4 for OT-000004,digital,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000006
a42100b9-2f94-5690-a960-168ef21c6420,881c6824-da7a-5eec-a885-c0765f9ba9fe,Evidence EVD-000007,Evidence 1 for OT-000018,other,pending,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000007
d91f7060-27a1-5888-ad25-823c4ed4ca5c,881c6824-da7a-5eec-a885-c0765f9ba9fe,Evidence EVD-000008,Evidence 2 for OT-000018,forensic,in_progress,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000008
cccbfb2a-8fac-582c-b783-1da3d209b5fc,af627e4e-827b-5817-9e28-5b95c27294ce,Evidence EVD-000009,Evidence 1 for OT-000022,audio,failed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000009
2efb6eb7-0d56-5577-b47e-27f3f645d64e,af627e4e-827b-5817-9e28-5b95c27294ce,Evidence EVD-000010,Evidence 2 for OT-000022,fingerprints,failed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000010
8768688c-5c80-5d8d-9915-61e5cadcb21b,e4af1249-6c04-5449-be85-802edd43a46b,Evidence EVD-000011,Evidence 1 for OT-000006,physical,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000011
692d2bb3-c1cd-5ff4-9337-aef8b81ea861,e4af1249-6c04-5449-be85-802edd43a46b,Evidence EVD-000012,Evidence 2 for OT-000006,ballistic,pending,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000012
b10a0b32-baec-5711-b49d-6365dec52cab,e4af1249-6c04-5449-be85-802edd43a46b,Evidence EVD-000013,Evidence 3 for OT-000006,documentary,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000013
ed8c621c-8959-5d5e-a767-0c261814944f,7779d1ff-b99e-5660-afde-5eaba930885a,Evidence EVD-000014,Evidence 1 for OT-000012,forensic,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000014
3a968435-3409-57fb-aded-85a680906c10,7779d1ff-b99e-5660-afde-5eaba930885a,Evidence EVD-000015,Evidence 2 for OT-000012,other,pending,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000015
ad22565b-228e-5c87-b6ec-e944b21abc33,555fb8b5-e6f0-5ae8-931d-16ec7bf4b14a,Evidence EVD-000016,Evidence 1 for OT-000012,video,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000016
0a363c62-c996-5c74-8eda-d0326cd591ab,555fb8b5-e6f0-5ae8-931d-16ec7bf4b14a,Evidence EVD-000017,Evidence 2 for OT-000012,video,failed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000017
6274007f-a650-574c-a995-d02bfd147f3a,555fb8b5-e6f0-5ae8-931d-16ec7bf4b14a,Evidence EVD-000018,Evidence 3 for OT-000012,ballistic,in_progress,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000018
be385890-153d-59af-8bd4-25a62db9b71a,fb0a3b1b-6a35-5e00-a4ec-a8af1c02cbfd,Evidence EVD-000019,Evidence 1 for OT-000008,documentary,failed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000019
e1112204-be0c-5226-93d4-4ffc87954803,fb0a3b1b-6a35-5e00-a4ec-a8af1c02cbfd,Evidence EVD-000020,Evidence 2 for OT-000008,other,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000020
f49fe4e5-f301-51fb-b4a9-33106564d50e,fb0a3b1b-6a35-5e00-a4ec-a8af1c02cbfd,Evidence EVD-000021,Evidence 3 for OT-000008,video,pending,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000021
b8d63d62-4316-5df7-b56d-b7e5b2b1e9bf,710beb7d-5253-5fbd-b3ec-c65690d46c1c,Evidence EVD-000022,Evidence 1 for OT-000014,biological,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000022
af43da05-a4e4-50d5-9caf-8aea545197f3,710beb7d-5253-5fbd-b3ec-c65690d46c1c,Evidence EVD-000023,Evidence 2 for OT-000014,trace,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000023
8e5b8ec1-9809-5b51-ba3d-e646aeaff93e,94184fcc-69a4-5963-a3fd-88881c8552fe,Evidence EVD-000024,Evidence 1 for OT-000025,trace,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000024
cddc9b0d-d8b3-5a45-bf38-26b6051e5932,d6506d7f-6d20-5b96-8b94-5f38f9fd2dca,Evidence EVD-000025,Evidence 1 for OT-000017,trace,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000025
ec6a1f7a-f8f6-5902-9853-cfbac44b041a,d6506d7f-6d20-5b96-8b94-5f38f9fd2dca,Evidence EVD-000026,Evidence 2 for OT-000017,digital,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000026
ac5e8b22-6e60-5b6a-b9d0-e93c8c4bfb4a,0d999f58-fded-538b-a116-a0923f3af71a,Evidence EVD-000027,Evidence 1 for OT-000005,ballistic,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000027
107fd7d9-d1d0-519a-9843-e71683eff88a,0d999f58-fded-538b-a116-a0923f3af71a,Evidence EVD-000028,Evidence 2 for OT-000005,chemical,pending,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000028
0e9df33a-9f73-57f8-a32a-7dcfce9f8bc9,88f5029a-7d1d-59d3-b5ae-8bf30e0aeeca,Evidence EVD-000029,Evidence 1 for OT-000016,fingerprints,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000029
b88feab3-c940-5700-a022-c4b7143f919d,88f5029a-7d1d-59d3-b5ae-8bf30e0aeeca,Evidence EVD-000030,Evidence 2 for OT-000016,trace,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000030
4ef273fc-6af3-58f0-9dc5-1954c11d6b35,88f5029a-7d1d-59d3-b5ae-8bf30e0aeeca,Evidence EVD-000031,Evidence 3 for OT-000016,video,in_progress,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000031
161e827b-2d37-5add-8469-380253bc9926,c861f90d-f496-55d1-b52b-17137ccd3294,Evidence EVD-000032,Evidence 1 for OT-000025,video,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000032
65347eaa-3744-5fd9-8dc6-a54bc46836b9,9d9a2a77-7847-5740-81f6-4dca904d75eb,Evidence EVD-000033,Evidence 1 for OT-000023,other,not_required,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000033
069d09d4-17c8-5bf2-acc5-554f48bdecb5,223990bb-6be1-5da7-bf50-6e18f08c8451,Evidence EVD-000034,Evidence 1 for OT-000020,audio,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000034
49f6b004-9331-5ea6-8991-563f6a175814,223990bb-6be1-5da7-bf50-6e18f08c8451,Evidence EVD-000035,Evidence 2 for OT-000020,forensic,completed,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000035
b7625fc3-7a8a-5384-9e5d-41545739c722,223990bb-6be1-5da7-bf50-6e18f08c8451,Evidence EVD-000036,Evidence 3 for OT-000020,documentary,in_progress,,,,imported,12fe593e-e883-5cac-9710-f2ba74198299,23_evidence.csv,EVD-000036
