id,address,district,station,latitude,longitude,pincode,dataset_provenance,source_import_job_id,source_file,source_row_ref
5769b4d8-dd62-50dc-9c00-8e9ec91bd6df,government [LOC-000001],RAMESWARAM,RAMESWARAM Station,9.206312,79.58704,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000001
59d9faa2-6468-525e-b142-8832356677b0,government [LOC-000002],RAMESWARAM,RAMESWARAM Station,9.209365,79.635263,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000002
12636f83-3889-5d46-b32f-6c1311edbd52,religious [LOC-000003],MADURAI,MADURAI Station,10.245513,77.734026,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000003
cbe54c86-3025-5f82-9a08-1356f6f5d00e,residential [LOC-000004],TIRUCHIRAPPALLI,TIRUCHIRAPPALLI Station,10.918438,78.520653,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000004
afff0103-9d8f-5144-a115-b13db9271ca5,market [LOC-000005],THIRUVALLUR,THIRUVALLUR Station,13.125844,79.954948,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000005
f0b96786-dcd9-51ca-8cb0-03c9709f4290,industrial [LOC-000006],TIRUNELVELI,TIRUNELVELI Station,8.936473,77.687452,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000006
62e0d624-4a6c-50e0-8b28-64e5e561dd0d,highway [LOC-000007],CHENGALPATTU,CHENGALPATTU Station,12.831185,80.173082,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000007
563f13cf-d2b1-50b6-8850-e6e6926c51c6,industrial [LOC-000008],KALLAKURICHI,KALLAKURICHI Station,11.972066,79.204861,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000008
a2cbec3d-8662-5a47-b4c5-32e596200f54,financial [LOC-000009],RAMESWARAM,RAMESWARAM Station,9.217124,79.547822,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000009
45e59dc2-6ecc-560c-a250-c3bd1dff4f9a,financial [LOC-000010],THIRUVALLUR,THIRUVALLUR Station,13.102124,80.096773,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000010
5f76fec3-966b-5b0d-8088-57e64f2b27e2,highway [LOC-000011],KARUR,KARUR Station,10.672284,77.888551,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000011
8c54501c-6f8b-5991-9a24-1dd169a93f94,online [LOC-000012],THIRUVALLUR,THIRUVALLUR Station,13.145519,80.029353,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000012
7b428912-0b15-5fd0-bd49-1c87c627e545,religious [LOC-000013],THIRUVALLUR,THIRUVALLUR Station,13.113381,79.962076,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000013
201917a2-1d8b-5b81-adf8-dc45c1bfc49b,bus_terminal [LOC-000014],MAYILADUTHURAI,MAYILADUTHURAI Station,11.257255,79.613241,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000014
95980931-4cf9-519f-914d-e5811e00be2b,road [LOC-000015],KANCHEEPURAM,KANCHEEPURAM Station,12.973534,79.860521,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000015
797333ec-5767-5e62-955e-aab2e58df6b5,online [LOC-000016],TIRUPATHUR,TIRUPATHUR Station,12.405628,78.429134,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000016
090e53a2-0787-5aea-8d41-6f481ac63f6f,financial [LOC-000017],KANCHEEPURAM,KANCHEEPURAM Station,12.96623,79.947434,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000017
2f594318-3adf-5931-9181-348eefe69cc9,residential [LOC-000018],THIRUVARUR,THIRUVARUR Station,10.388731,79.523014,,imported,12fe593e-e883-5cac-9710-f2ba74198299,21_location.csv,LOC-000018
